Series Name,Series Code,Country Name,Country Code,2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,Philippines,PHL,59.8578963147958,60.4411862848669,61.0221905446823,61.6001657903068,62.1743615399215
,,,,,,,,
,,,,,,,,
,,,,,,,,
Data from database: World Development Indicators,,,,,,,,
Last Updated: 07/13/2026,,,,,,,,
